property_id,property_link,listing_title,description,location,num_bedrooms,num_bathrooms,max_tenants,deposit,rent_pcm,bills_included,student_friendly,family_friendly,pet_friendly,smoker_friendly,available_from,min_tenancy_months,garden,parking,fireplace,furnishing,closest_station,closest_station_mins,postcode,scrape_date
1192540,https://www.openrent.co.uk//1192540,"2 Bed Flat, Luke House, SW1P","This large, (89 sq. meter) bright and spacious two-bedroom apartment is on the sixth floor and is located in the heart of Victoria.The apartment has two large bright bedrooms with a spacious Living room area, plenty of storage space, fully fitted kitchen and 2 modern bathrooms. The apartment comes with free wifi and is set up for a Sky subscription.Luke House offers an excellent variety of 30 newly refurbished studio, one and two-bedroom apartments, situated on the upper floors of this purpose-built development building, offering flexible accommodation to suit all requirements. The building has a dedicated building manager, secure underground parking, wifi, and lift service.Centrally located in Westminster, just off Victoria Street, Luke House is surrounded by shops, bars and restaurants, as well as giving easy access to the rest of the city. Residents of Luke House have easy access to some of the capital&#x2019;s best-known historic sights &#x2013; including Buckingham Palace, the Houses of Parliament and Westminster Abbey. It is a 5-minute walk to St James&#x2019;s Park tube station (District line) and to Victoria tube and train station (Victoria line & Gatwick Express).",London,2,2,4,4699,4073,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,Yes,No,At tenant choice,"St. James's Park , Underground Station",3,SW1P,14-Sep-21
1143491,https://www.openrent.co.uk//1143491,"2 Bed Flat, Berkeley Street, W1J","Located on the Fourth Floor, this two bedroom apartment has a contemporary, sophisticated feel and offers the finest quality in materials and finishes. The apartment compromises of two bedrooms, two en-suite bathrooms and a separate WC. The property is located a short walk to Green Park underground station which is serviced by the Victoria, Jubilee and Piccadilly lines.Luxury furnishing, marble bathrooms & lift access bring comfort, while CCTV combined with Day Concierge gives all the required security and peace of mind. Mayfair is one of the most sought after and prestigious area in London, offering a fine selection of boutique shops, luxury restaurants, high-end cafes, bars and nightclubs. The open spaces of Green Park are also nearby, offering the chance for peaceful strolls in the centre of London.",London,2,3,4,7788,6750,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,No,No,Furnished,Green Park Station,3,W1J,14-Sep-21
1131694,https://www.openrent.co.uk//1131694,"1 Bed Flat, New Oxford Street, WC1A","Covent Garden / Bloomsbury 1-double bedroom Designer apartment. Bright High-Ceilings West End apartment in the iconic New Oxford Street, 10 minutes walk to Covent Garden, Holborn & Tottenham Court Road Stations, close to all that Central London has to offer! British Museum is only a block away. Large modern living dining, open plan kitchen (washer drier  & dishwasher) & luxury 1 bathroom/shower room. Contemporary Bedroom can be either open or private by mean of a sliding door. Available from 1st October however an early start can be negotiated. Minimum one year but a shorter rental can be negotiated for the right tenant/offer.",London,1,1,2,2600,2600,No,Yes,Yes,No,No,20-Sep-21,12,No,No,No,Furnished,Holborn Station,6,WC1A,14-Sep-21
1186491,https://www.openrent.co.uk//1186491,"3 Bed Penthouse, New Oxford Street, WC1A","Rarely available and new to the market: a unique roof terrace penthouse flat, positioned between Covent Garden and Bloomsbury. This unique London home boasts an elegant and serene decor, plenty of light and the exclusive use of two terraces, including a landscaped roof garden.The property counts three bedrooms . On the lower floor, one bedroom with a double bed and one bedroom with twin beds share a luxury bathroom. On the larger upper floor, the tranquil master bedroom has a private en-suite, air-conditioning & a small private terrace. Also on the upper floor, the south facing living area boasts a high ceiling, hardwood floors throughout, a kitchen with German appliances, a large dining area for 6 and a comfortable sitting area with a period marble fireplace.The roof garden is also accessed via a spiral staircase from this floor.Be at the centre of the London action or away from it all, as you decide. Party the night away in nearby Soho or quietly enjoy the unique 360 view of the London skyline, with unique vistas of the British Museum cupola, the BT Tower, the Centre Point, Renzo Piano's St Giles or the quirky spire of nearby St Georges church.This truly is a unique home, quietly unassuming on the outside, refined and homely on the inside.Nearest tube stations: Tottenham Court Road (5 minutes), Holborn (5 minutes), Covent Garden (8 minutes).",London,3,2,3,15500,15500,No,Yes,Yes,No,Yes,24-Oct-21,6,Yes,No,Yes,Furnished,Holborn Station,6,WC1A,14-Sep-21
1152798,https://www.openrent.co.uk//1152798,"2 Bed Flat, Strand, WC2R","We are proud to offer this delightful 2 bedroom, 3 bathroom flat in a great location.You could not miss this rare duplex 2 bedroom brand-new apartments. Both bedrooms have en-suites and massive internal space. The downstairs is solely living area; the open plan kitchen dining and living area is 400 sqf! Perfect for family, professionals working from home. Virtual 360: Available to move in from 18 July 2021, this property benefits from available 2 underground parkings (fee separately negotiated). Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£5,550.00 per month (Â£1,280.77 per week)Deposit / Bond is Â£6,403.84Minimum tenancy is 12 monthsMaximum number of tenants is 4",London,2,3,4,6000,5200,No,Yes,Yes,Yes,Yes,14-Sep-21,12,No,Yes,No,Furnished,Temple Station,3,WC2R,14-Sep-21
1165206,https://www.openrent.co.uk//1165206,"3 Bed Flat, Great Peter Street, SW1P","We are proud to offer this delightful 3 bedroom, 3 bathroom apartment in a prime location, moments from Westminster Abbey, Parliament and the Thames. The expertly blended gothic architecture and modern mid-century interiors create a functional but impressive space, guaranteed to ""wow"" when you host friends around the generous 8 seater dining table.Available NOW. The property is offered fully furnished with 24 hour support. If you're looking for convenience and flexibility then contact us for more details, or to arrange a viewing.  SummaryRent Â£7,250 per month (Â£1,673.00 per week)Utilities/Bills Â£250 per month (fixed) includes Wifi, water, waste, heating & air cooling, electricity & taxes.Deposit / Bond is Â£3,400.00Minimum tenancy is 3 monthsMaximum number of tenants is 6",London,3,3,6,3346,7250,No,Yes,Yes,No,Yes,14-Sep-21,3,No,No,No,Furnished,"St. James's Park , Underground Station",7,SW1P,14-Sep-21
1198385,https://www.openrent.co.uk//1198385,"1 Bed Flat, Oxford Circus, W1D","1 Bedroom Modern ApartmentFully Furnished with a Separate KitchenIn the heart of Oxford Circusonly 4 minutes away from the Oxford Circus Tube StationSeparate Bathroom with ShowerheadSeparate Kitchen with AppliancesRent is inclusive of utility bills and council tax except electricity billI am proud to present this stylish fully-furnished apartment with 1 bedroom, available for a long let in the heart of Oxford Circus. The apartment is spacious with a wooden floor providing a modern aesthetic and is accessible by a lift and stairs. The apartment comes with a separate living room, an ideal space to host and entertain guests. This includes a dining area that can easily be converted into a workspace. Appliances such as a stove, refrigerator, and washing machine are available for tenants.This apartment is ideally suited for couples and working professionals with easy access to Oxford Circus Tube Station with lines to The Bakerloo, Central & Victoria Lines. The apartment is well-lit with windows in all living areas. The separate kitchen space and bathroom make it a perfect apartment choice for couples, although its versatility and location make it ideal for working professionals too.Oxford Circus is home to a variety of shops, restaurants, bars, and hangout spots. It is one of the most sought-after locations by tenants in London, which makes this apartment a highly in-demand property. The rent fee is inclusive of utility bills (Except Electricity Bill), internet, and council tax. A virtual walkthrough video for the property is available. For physical viewing, please do contact me. I am following government safety guidelines for viewing during the COVID-19 pandemic.",London,1,1,2,2307,2000,Yes,Yes,Yes,Yes,Yes,14-Sep-21,3,No,No,No,At tenant choice,Oxford Circus Station,5,W1D,14-Sep-21
914396,https://www.openrent.co.uk//914396,"2 Bed Maisonette, Berners Street, W1T","We are proud to offer this delightful 2 bedroom, 1 bathroom maisonette in a great location. Property is split level with high ceilings and high spec. Additional WC on living room floor. Living room is large and open plan.A very stylishly presented ground and lower ground floor two double bedroom duplex apartment in an impressive Mansion building.  The building also benefits from the availability of a Porter.Berners Street is located in the heart of Fitzrovia very close to Oxford Street, Soho and close to trendy Charlotte Street with its abundance of restaurants and bars. Oxford Circus and Tottenham Court Road are also a short distance from the property. Major universities are walking distance.Available to move in from August 2021. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent Â£3,011.67 per month (Â£695 approx per week)Deposit / Bond is Â£3,475.00Minimum tenancy is 6 monthsMaximum number of tenants is 2",London,2,2,2,3750,3250,No,Yes,No,No,No,14-Sep-21,6,Yes,No,No,Furnished,Goodge Street Station,6,W1T,14-Sep-21
1203721,https://www.openrent.co.uk//1203721,"1 Bed Flat, Clarges Street, W1J","A well appointed one bedroom apartment located in Mayfair, only a few minutes walk to Green Park station and park.Property is approx 500 sq ft and consists of entrance hallway (entry phone), living room with integrated kitchen, modern bathroom and double bedroom (with built in storage).Situated on the third floor of small block with lift access. Good light and a very quiet location for central london. Preference to let unfurnished but some furniture could be provided.Rent includes cost of 24 hour hot water.Residents parking permit can be obtained from local council.EPC and electrical safety certificateVery good references requiredNo short term subletting is permitted (strictly enforced by Westminster)",London,1,1,2,2475,2145,No,Yes,Yes,No,No,31-Oct-21,10,No,No,No,Unfurnished,Green Park Station,3,W1J,14-Sep-21
1172544,https://www.openrent.co.uk//1172544,"Room in a Shared Flat, Great Russell Street, WC1B","We are proud to offer this delightful room in a 2 bedroom, 1 bathroom shared flat in a great location.Available to move in from 02 August 2021, this property benefits from a warm fireplace. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£1200.00 per month (Â£242.31 per week)Deposit / Bond is Â£1100.00Minimum tenancy is 1 monthsMaximum number of tenants is 2",London,2,1,2,1100,1100,Yes,Yes,Yes,No,No,14-Sep-21,1,No,No,Yes,Furnished,Holborn Station,6,WC1B,14-Sep-21
1211902,https://www.openrent.co.uk//1211902,"2 Bed Flat, Westminster Bridge Road, SE1","Top floor flat in the Lambeth/Waterloo.Recently completely refurbished to a very high standard, including new Kitchen and all furnishingsThe flat is situated at the end Lower Marsh with all its bars and facilities and the London Eye can be seen from the Lounge.Lambeth North and Waterloo stations are minutes away. Viewings available from Wednesday 15/09/2021",London,2,1,2,1800,1800,No,Yes,Yes,No,No,18-Sep-21,12,No,No,No,Furnished,Lambeth North Station,3,SE1,14-Sep-21
1211838,https://www.openrent.co.uk//1211838,"1 Bed Flat, Matheson Lang Gardens, SE1","We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 01 November 2021, this property benefits from available parking, and garden access. Property is offered furnished or unfurnished (tenant can decide).Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£1,550.00 per month (Â£357.69 per week)Deposit / Bond is Â£1,550.00Minimum tenancy is 12 monthsMaximum number of tenants is 2",London,1,1,2,1550,1550,No,Yes,Yes,Yes,Yes,01-Nov-21,12,Yes,Yes,No,At tenant choice,Lambeth North Station,2,SE1,14-Sep-21
1212278,https://www.openrent.co.uk//1212278,"1 Bed Flat, Grosvenor Hill, W1K","We are proud to offer this delightful 1 bedroom, 2 bathroom flat in a great location.Available to move in from 14 September 2021. Property is offered furnished or unfurnished (tenant can decide).Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,008.33 per month (Â£925.00 per week)Deposit / Bond is Â£4,008.33Minimum tenancy is 6 monthsMaximum number of tenants is 2",London,1,2,2,4008,4008,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,No,No,At tenant choice,Bond Street Station,5,W1K,14-Sep-21
1201944,https://www.openrent.co.uk//1201944,"1 Bed Flat, Grosvenor Hill, W1K","We are proud to offer this delightful 1 bedroom, 2 bathroom flat in a great location.Available to move in from 01 September 2021, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,550.00 per month (Â£1,050.00 per week)Deposit / Bond is Â£5,250.00Minimum tenancy is 6 monthsMaximum number of tenants is 5",London,1,2,5,5250,4550,No,Yes,Yes,Yes,Yes,14-Sep-21,6,Yes,Yes,No,Furnished,Bond Street Station,5,W1K,14-Sep-21
1189882,https://www.openrent.co.uk//1189882,"1 Bed Flat, Grosvenor Hill, W1K","We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 17 August 2021, this property benefits from available parking. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,073.33 per month (Â£940.00 per week)Deposit / Bond is Â£4,699.99Minimum tenancy is 6 monthsMaximum number of tenants is 3",London,1,1,3,4699,4073,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,Yes,No,Furnished,Bond Street Station,5,W1K,14-Sep-21
1199824,https://www.openrent.co.uk//1199824,"1 Bed Flat, Cleveland House, W1T","Beautifully furnished and with all the necessities for an enjoyable night in, these apartments are an easy, yet luxurious way to spend your stay in the city. Whether you are curled up on the sleek, black leather couch catching up on your shows with the complimentary Wi-Fi, or preparing a quick meal for yourself in the fully equipped kitchen, youâll be as comfortable as if you were in your own living room. Follow up your long day with a relaxing bath in our lavish marble bathroom.Upon entry to their apartment, guests will immediately note the natural light that floods the interior. Well-positioned, size-able windows invitesunlight in and offer views of the street outside. Beautifully furnished and with all the necessities for an enjoyable night in, these apartments are an easy, yet luxurious way to spend your stay in the city. Whether you are curled up on the sleek, black leather couch catching up on your shows with the complimentary Wi-Fi, or preparing a quick meal for yourself in the fully equipped kitchen, youâll be as comfortable as if you were in your own living room. Follow up your long day with a relaxing bath in our lavish marble bathroom.Our Fitzrovia Residences Serviced Apartments provide corporate and leisure travelers with the perfect stay and are only a 10 minute walk from Oxford Street and Totthenam Court RoadThese fully furnished serviced apartments come with all the necessities such as fully equipped kitchen, high-speed Wi-Fi,all bills included, weekly cleaning, dishwasher and washing/dryer.Fitzrovia is in the heart of central London. Few minutes away from the shopping district of Oxford Street, Regent Street and Bond Street. Soho district is very close by with its vibrant bars, theaters and restaurants , perfect place to enjoy a proper London night out.Located just north of Covent Garden, a few of its close attractions include The British Museum, Pollockâs Toy Museum, and the Grant Museum of Zoology. For those interested in exploring the nightlife, London Cocktail Club is known for its reasonably priced cocktails on Monday nights, and Charlotte Street is the hub for diverse cuisine and an array of bars, such as the historical Fitzrovia Tavern that gave the area its name. If youâre in need of a bit of shopping, Oxford Street is only a 10 minute walk away, giving you enough time to browse during the evenings and weekends.With Goodge Street station just around the corner of the apartment, you will have access to as much of London via the Northern line as you are prepared to experience throughout your stay.",London,1,1,2,250,3600,Yes,Yes,Yes,Yes,No,19-Nov-21,1,No,No,No,Furnished,Goodge Street Station,3,W1T,14-Sep-21
1205333,https://www.openrent.co.uk//1205333,"Room in a Shared Flat, Ormonde Mansions, WC1B","A double room in a newly refurbished spacious and bright flat less than 5 minutes walk to Holborn tube stationthe apartment is on the 2nd floor of a victorian period building comes fully furnished and equipped for everyday livingInternet, Tv, Netflix, and all utilities included",London,2,2,1,623,1350,Yes,Yes,No,No,Yes,17-Sep-21,3,No,No,No,Furnished,Holborn Station,5,WC1B,14-Sep-21
1141577,https://www.openrent.co.uk//1141577,"Room in a Shared Flat, Century House, SE1","large double room conveniently located right next to Lambeth North station in zone 1sharing the flat with 2 other professional flatmates.From left to rightRoom 1: 760/pcm all inclusiveRoom 2: 650/pcm only available tii 24 Oct. Room 3: 825/pcm all inclusive ***** Virtual Tourplease watch the video on the ad or request via MSG. The room is the smaller one in the middle right in front of the entrance.****Transport:- Lambeth North Tube station at your door step- Zone 1 getting you anywhere within minutes- Short walk across the river to Aldwych, LSE, Kings College.- Short walk to London Eye***** NOTE:no shared living room as it's being used as another room*** Bills / month ( estimates )1. price does not include a) council Tax Â£40b) electricity and heating bills - Â£40 ( depending on usage )c) internet access Â£10Estimated total per month is about Â£850",London,3,1,1,650,780,No,Yes,No,No,Yes,14-Sep-21,6,Yes,Yes,No,Furnished,Lambeth North Station,1,SE1,14-Sep-21
1201041,https://www.openrent.co.uk//1201041,"Studio Flat, Hill Street, W1J","We are proud to offer this delightful 1 bedroom, 1 bathroom studio flat in a great location.Available to move in from 31 August 2021, this property benefits from available parking. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,166.67 per month (Â£500.00 per week)Deposit / Bond is Â£2,500.00Minimum tenancy is 6 monthsMaximum number of tenants is 2",London,1,1,2,2500,2166,No,Yes,Yes,Yes,Yes,14-Sep-21,6,No,Yes,No,Furnished,Green Park Station,7,W1J,14-Sep-21
1197778,https://www.openrent.co.uk//1197778,"Room in a Shared Flat, Bourlet Close, W1W",Looking for 2 roommates to share a large townhouse/muse in central london! 1600 per bedroom (x2 available) Each bedroom is on its own half floor w/ a shower bathroom per bedroomLarge living room/kitchen space w/ dishwasher/oven/microwaveSeparate laundry room w/ dryer/washer Great location! With Oxford Circus and Goodge Street as the closest tube stations.  Bills are included (not council tax) No preference on gender Up to age 28 About me: 21f young professional,London,3,3,2,1600,1600,Yes,Yes,No,No,No,01-Oct-21,6,No,No,No,Furnished,Goodge Street Station,6,W1W,14-Sep-21
1210164,https://www.openrent.co.uk//1210164,"Studio Flat, Hill Street, W1J","We are thrilled to offer this  second floor studio situated in the heart of London's fashionable Mayfair neighbouring the famous Berkeley Square.The apartment is set over 261 sq ft and comprises a large living room area, modern bathroom and a unique kitchenette.Hill Street, benefits from spacious living accommodation, lift service, on-site building manager, and is nestled conveniently between two of London's parks Hyde Park and Green Park. The transport links include underground stations which are Green Park Station and Bond Street station, Marble Arch Station all within a short stroll away.",London,1,1,2,2500,2166,No,No,No,No,No,14-Sep-21,12,No,No,No,At tenant choice,Green Park Station,7,W1J,14-Sep-21
